"","Group","Species","Longitude","Latitude"
"169","Birds","Basileuterus culicivorus",-48.4,-22.8
"170","Birds","Thlypopsis sordida",-48.4,-22.8
"171","Birds","Ramphocelus carbo",-48.4,-22.8
"172","Birds","Euphonia violacea",-48.4,-22.8
"173","Birds","Tangara cayana",-48.4,-22.8
"174","Birds","Zonotrichia capensis",-48.4,-22.8
"175","Birds","Sporophila caerulescens",-48.4,-22.8
"176","Birds","Coryphospingus cucullatus",-48.4,-22.8
"177","Birds","Cyclarhis gujanensis",-48.4,-22.8
"178","Birds","Dacnis cayana",-48.4,-22.8
"179","Birds","Attila rufus",-48.4,-22.8
"180","Birds","Elaenia mesoleuca",-48.4,-22.8
"181","Birds","Leptopogon amaurocephalus",-48.4,-22.8
"182","Birds","Myiarchus swainsoni",-48.4,-22.8
"183","Birds","Elaenia obscura",-46.375555,-20.296666
"184","Birds","Turdus leucomelas",-48.966666,-22.466666
"185","Birds","Leptotila rufaxilla",-48.966666,-22.466666
"186","Birds","Colaptes melanochloros",-48.966666,-22.466666
"187","Birds","Antilophia galeata",-48.966666,-22.466666
"188","Birds","Megarynchus pitangua",-48.966666,-22.466666
"189","Birds","Myiarchus tyrannulus",-48.966666,-22.466666
"190","Birds","Cnemotriccus fuscatus",-48.966666,-22.466666
"191","Birds","Tolmomyias sulphurescens",-48.966666,-22.466666
"192","Birds","Elaenia flavogaster",-48.966666,-22.466666
"193","Birds","Elaenia obscura",-48.966666,-22.466666
"194","Birds","Turdus amaurochalinus",-48.966666,-22.466666
"195","Birds","Geothlypis aequinoctialis",-48.966666,-22.466666
"196","Birds","Basileuterus culicivorus",-48.966666,-22.466666
"197","Birds","Schistochlamys ruficapillus",-48.966666,-22.466666
"198","Birds","Coryphospingus cucullatus",-48.966666,-22.466666
"199","Birds","Zonotrichia capensis",-48.966666,-22.466666
"200","Birds","Thamnophilus caerulescens",-48.966666,-22.466666
"201","Birds","Casiornis rufus",-48.966666,-22.466666
"202","Birds","Phyllomyias fasciatus",-48.966666,-22.466666
"203","Birds","Turdus albicollis",-48.966666,-22.466666
"204","Birds","Cyclarhis gujanensis",-48.966666,-22.466666
"205","Birds","Tangara cayana",-48.966666,-22.466666
"206","Birds","Saltator similis",-45.686944,-23.531944
"207","Birds","Tachyphonus coronatus",-45.686944,-23.531944
"208","Birds","Thamnophilus caerulescens",-45.686944,-23.531944
"209","Birds","Tolmomyias sulphurescens",-45.686944,-23.531944
"210","Birds","Trichothraupis melanops",-45.686944,-23.531944
"211","Birds","Turdus rufiventris",-45.686944,-23.531944
"212","Birds","Chiroxiphia caudata",-45.686944,-23.531944
"213","Birds","Picumnus cirratus",-45.686944,-23.531944
"214","Birds","Geothlypis aequinoctialis",-45.686944,-23.531944
"215","Birds","Zonotrichia capensis",-45.686944,-23.531944
"216","Birds","Cyclarhis gujanensis",-45.686944,-23.531944
"217","Birds","Attila rufus",-45.686944,-23.531944
"218","Birds","Hylophilus poicilotis",-45.686944,-23.531944
